cod;codPostal;nomCalle
546;01010;RIO UREDERRA
547;01010;RIO ZAIA
548;01010;RIO ZUBIALDE
549;01010;RONCESVALLES
550;01010;SAN MIGUEL DE ACHA
551;01010;SANSOMENDI
552;01010;SANTA OLAJA DE ACERO
553;01010;SIERRA DE ANDIA
554;01010;SIERRA DE ARALAR
555;01010;SIERRA DE URBASA
556;01010;TARRAGONA
557;01010;URARTEA
558;01010;VALENTIN DE FORONDA,Senda
559;01010;VELATE
560;01010;VITORIABIDEA
561;01010;VITORIALANDA
562;01010;VOLUNTARIA ENTREGA
563;01010;XABIER
564;01010;YURRALDEA
565;01010;ZARAUTZ
566;01010;ZORROSTEA
567;01012;ALDABE
568;01012;ALDABE,Plazuela
569;01012;ANTILLAS, LAS,Pasaje
570;01012;ARRIAGA, DE,Portal (Impares del 1 al final)  (Pares del 2 al 14)
571;01012;BADAIA
572;01012;BASOA
573;01012;BEETHOVEN
574;01012;BRASIL
575;01012;BRUNO VILLARREAL
576;01012;CARACAS
577;01012;CIUDADELA,Plaza
578;01012;COFRADIA ARRIAGA
579;01012;CONSTITUCION,Plaza
580;01012;CORONACION VIRGEN BLANCA
581;01012;COSTA RICA
582;01012;CRUZ BLANCA
583;01012;CUBA
584;01012;DOMINGO BELTRAN DE OTALORA
585;01012;EULOGIO SERDAN,Pasaje
586;01012;EULOGIO SERDAN
587;01012;GARALBIDE
588;01012;GASTEIZ,Avenida (Pares del 52 al final)
589;01012;GORBEA   (Impares del 9 al final)  (Pares del 16 al final)
590;01012;GUATEMALA
591;01012;GUAYAQUIL
592;01012;HABANA
593;01012;HONDURAS   (Pares del 2 al final)
594;01012;JUAN DE GARAY
595;01012;JULIAN DE APRAIZ
596;01012;KUTXA
597;01012;LIMA
598;01012;MANUEL DIAZ DE ARCAYA
599;01012;NAVARRO VILLOSLADA
600;01012;NICARAGUA
601;01012;PANAMA
602;01012;PARAGUAY
603;01012;PASCUAL DE ANDAGOYA,Plaza
604;01012;PERU
605;01012;PORTAL DE ARRIAGA   (Impares del 1 al final)  (Pares del 2 al 14)
606;01012;PUERTO RICO
607;01012;RIGOBERTA MENCHU,Plaza
608;01012;SALVADOR, EL
609;01012;SANTO DOMINGO,Plaza (Impares del 1 al final)  (Pares del 2 al final)
610;01012;SIMON DE ANDA
611;01012;TENERIAS
612;01012;URUAGUAY
613;01012;VENEZUELA
614;01012;ZALDIARAN,Plaza
615;01013;ABETXUCO
616;01013;ACACIAS
617;01013;AGIRRELANDA
618;01013;ALFREDO DONAY
619;01013;AMURRIO
620;01013;ANCORA,Pasaje
621;01013;ANDULLA
622;01013;ARAKA
623;01013;ARRIAGA DE,Portal
624;01013;ARRIAGANA
